School Name,Year,Attendance - Percent of Students Not Chronically Absent (All),Mathematics - Meeting Annual Academic Growth Expectations,Mathematics - Percent Proficient or Advanced on PSSA Exam,Science - Percent Advanced on PSSA Exam,Mathematics - Percent Advanced on PSSA Exam,Reading - Percent Advanced on PSSA Exam,Reading - Meeting Annual Academic Growth Expectations,Reading - Percent Proficient or Advanced on PSSA Exam,Science - Meeting Annual Academic Growth Expectations,Science - Percent Proficient or Advanced on PSSA Exam,ELA - Meeting Annual Academic Growth Expectations,ELA - Percent Proficient or Advanced on PSSA Exam,ELA - Percent Advanced on PSSA Exam,Average Years of Educational Experience (In LEA),Average Years of Educational Experience (Total),Percent of Classes Taught by Highly Qualified Teachers,Percent of Gifted Students,School Enrollment,Percent of 3rd Graders Reading at Grade Level
Cedarbrook Middle School,2013,96.41,100,84.65,34.81,62.98,58.11,77,83.07,100,67.95,,,,9.77,12.08,100,11.08,740,
Cheltenham Elementary,2013,96.23,100,88.7,55.1,59.89,41.81,86,80.22,73,87.75,,,,11.91,14.79,100,4.06,419,
Cheltenham High School,2013,93.03,50,76.8,9.12,35.11,15.67,85,84.95,50,45.28,,,,9.54,12.23,100,12.36,1448,
Elkins Park Schoolool,2013,96.53,50,78.2,,54.5,37.91,90,70.62,,,,,,13.19,15.36,100,9.91,656,
Glenside Elementary,2013,96.22,84,81.71,54.22,47.56,35.98,69,76.83,81,77.11,,,,11.35,13.35,100,1.94,463,
Myers Elementary,2013,96.67,85,86.9,42.47,51.03,33.79,73,80,57,84.93,,,,14.39,17.11,100,3.88,361,
Wyncote Elementary,2013,95.9,100,86.67,61.9,62.42,47.88,77,87.88,76,88.09,,,,9.74,11.77,100,0.24,416,
Cedarbrook Middle School,2014,95.89,95.33,88.5,37.13,69.59,64.04,86,86.65,100,75.75,,,,11.18,13.33,100,10,680,
Cheltenham Elementary,2014,95.99,67,83.63,40.23,48.54,36.26,89,81.29,70,82.76,,,,13.93,16.31,100,3.2,437,
Cheltenham High School,2014,92.84,50,74.02,9.31,17.52,12.05,52,84.04,50,56.16,,,,11.14,13.42,100,11.47,1473,
Elkins Park School,2014,96.15,73,80.44,,57.94,39.35,69,70.63,,,,,,14.79,16.57,100,11.19,706,
Glenside Elementary,2014,95.94,100,80,57.3,52.22,41.67,75,82.78,100,91.01,,,,12,13.5,100,2.42,495,
Myers Elementary,2014,96.1,77,87.88,36.11,50,44.7,87,85.61,71,81.94,,,,16.64,19.28,100,5.49,346,
Wyncote Elementary,2014,96.64,100,85,58.75,63.75,55.35,74,85.53,77,87.5,,,,10.79,11.79,100,2.12,424,
Cedarbrook Middle School,2015,,,,,,,,,,,,,,11.27,13.73,84.14,10.48,687,
Cheltenham Elementary,2015,,,,,,,,,,,,,,14.33,16.26,100,1.94,464,
Cheltenham High School,2015,93.9,50,70.21,19.52,13.7,,,,50,64.04,52,,,11.23,13.54,98.74,10.78,1466,
Elkins Park School,2015,,,,,,,,,,,,,,14.63,16.23,100,10.25,683,
Glenside Elementary,2015,,,,,,,,,,,,,,12.53,14.17,100,2.02,494,
Myers Elementary,2015,,,,,,,,,,,,,,17.36,20.18,100,6.76,340,
Wyncote Elementary,2015,,,,,,,,,,,,,,11.76,12.76,100,3.17,441,
